OBJECTID,name,latitude_centroid,longitude_centroid,median_household_income,surface_area,population_density,average_age,families_with_children_percentage,rent_vs_own_percentage,unemployment_rate,education_level_percentage,total_crimes,violent_ratio,property_ratio,violent_vs_property_ratio,crime_trend_slope,crimes_per_100_people,median_rent,median_home_price,average_housing_age,air_quality_index,average_dB_level,maximum_dB_level,gym_density,culture_density,local_businesses_density,restaurant_density,premium_stores_density,nightlife_density,hospital_density,dist_downtown_km,proximity_to_sea,green_space_percentage,charging_stations_number,walk_score,transit_score,bike_score,accessibility_score
70,Pacoima,34.26377018628646,-118.41633173143768,72784.0,7.0,666.0,33.3,,35.093419983753044,4.2,11.8,10938,0.3262022307551654,0.5681111720607058,0.5741873189571934,-6.219780219780221,234.6203346203346,2276.0,350000.0,38.0,Moderate/Poor,65,85,0.29,0.29,2.14,4.29,0.0,0.71,0.43,28.38360826244568,29.1027543465846,18,30,61,47,57,55
71,Palms,34.02499335271433,-118.40965080223258,102508.0,3.4,614.1176470588235,37.2,22.48656945510361,94.70452801227935,4.6,58.4,6966,0.1695377548090726,0.7825150732127476,0.2166574940377912,-4.4835164835164845,333.62068965517244,1881.0,896200.0,42.0,Good,60,80,1.47,0.29,7.35,13.24,0.29,2.94,0.88,15.589857357519,7.341479491636327,10,40,90,58,81,80
72,Panorama City,34.22433292075103,-118.44539797507962,52198.0,3.0,867.6666666666666,33.2,69.35286935286935,93.65079365079364,10.8,28.6,14234,0.2905718701700154,0.6386117746241394,0.455005500550055,-8.87912087912088,546.8305800998847,1848.0,509300.0,42.0,Moderate/Poor,65,85,2.0,0.67,11.67,16.67,0.0,3.33,1.67,26.66178219989381,24.23069506916318,10,30,69,49,61,60
73,Pico-Robertson,34.05380999932527,-118.38665181836532,126250.0,1.2,2314.166666666667,36.2,36.75213675213676,63.15289648622981,9.4,70.4,3914,0.1977516607051609,0.747061829330608,0.2647058823529412,-2.2362637362637363,140.9434641699676,2401.0,1724400.0,74.0,Moderate,60,80,5.0,1.67,25.0,45.83,2.5,8.33,3.33,13.172478787964357,11.040273249671928,12,30,80,65,70,80
74,Pico-Union,34.04454492153778,-118.28678863002708,46234.0,1.5,2024.6666666666667,39.9,68.15165876777252,88.34123222748815,12.4,12.6,13657,0.3625979351248444,0.5818993922530571,0.6231282244872279,-7.934065934065934,449.6871913072111,1134.0,1064700.0,,Moderate/Poor,65,85,1.33,2.67,13.33,26.67,0.0,6.67,2.67,4.062431474908611,18.39925919065848,6,25,90,74,74,85
75,Playa del Rey,33.95025347977836,-118.43828525103108,,1.2,0.0,,,,,,3100,0.1648387096774193,0.7861290322580645,0.2096840377513336,-2.39010989010989,,,,,Good,55,75,1.67,0.83,8.33,12.5,0.0,4.17,0.83,21.22269426871432,5.02535837982443,35,30,70,45,75,70
76,Playa Vista,33.97853438747238,-118.41508242722648,180246.0,2.0,5196.0,37.0,37.77190485871112,68.10327302297215,4.3,86.2,4504,0.1323268206039076,0.8112788632326821,0.1631089217296114,-3.2032967032967035,43.34103156274057,3500.0,1191900.0,14.0,Good,60,80,2.5,0.5,10.0,15.0,2.5,4.0,1.0,17.79670826129611,5.394895728090539,25,40,80,60,80,85
77,Porter Ranch,34.27837796161189,-118.54761204097458,131014.0,9.0,386.3333333333333,43.5,57.993474714518754,14.02936378466558,8.8,60.3,3667,0.1750749931824379,0.7548404690482683,0.2319364161849711,-2.291208791208791,105.46448087431696,3500.0,944100.0,47.0,Moderate/Poor,50,70,0.33,0.11,1.11,2.22,0.22,0.33,0.22,37.60644309887958,30.16450762163706,45,50,17,0,17,40
78,Rancho Park,34.034333899613124,-118.42590902637755,106618.0,1.6,1448.125,43.9,29.24107142857143,40.40178571428572,5.5,62.0,3497,0.174721189591078,0.7829568201315413,0.2231555880204528,-2.626373626373627,150.9279240397065,1754.0,1640800.0,75.0,Good,55,75,1.25,0.63,5.0,9.38,0.0,1.88,0.62,16.90747764587589,6.982813015612746,30,35,75,60,65,75
79,Reseda,34.20362489449692,-118.5403493293384,74954.0,6.3,421.4285714285714,40.4,34.4993968636912,51.7490952955368,5.4,24.5,13963,0.3103201317768388,0.6124758289765809,0.506665107577175,-6.505494505494506,525.9133709981168,2061.0,650600.0,66.0,Moderate/Poor,60,80,0.79,0.32,4.76,7.94,0.16,1.59,0.63,32.07864716519924,21.860761426910106,15,50,65,45,58,60
80,San Pedro,33.73863001785346,-118.29287184789013,47852.0,25.0,214.72,39.6,42.71028037383178,80.88785046728972,9.9,17.6,18246,0.3027512879535241,0.6179984654170777,0.489890031926215,-9.549450549450553,339.903129657228,1494.0,718800.0,58.0,Good/Moderate,60,80,0.24,0.32,1.8,2.8,0.08,0.8,0.2,35.16558250282455,0.1185780991439163,22,70,82,49,77,70
81,Sawtelle,34.03609729043285,-118.44918314496763,82500.0,2.7,914.4444444444443,42.4,11.588921282798834,59.18367346938776,0.9,60.0,15020,0.1510652463382157,0.8043275632490013,0.1878155781806142,-11.186813186813188,608.3434588902389,2582.0,1188500.0,52.0,Good,65,85,1.85,1.11,12.96,18.52,0.74,3.7,1.48,19.01896646319939,5.169810594532254,12,40,87,70,75,85
82,Sepulveda Basin,34.17693492140089,-118.48869490018863,125625.0,3.0,68.33333333333333,31.7,36.25,38.75,0.0,53.6,5261,0.2509028701767725,0.6945447633529748,0.361247947454844,-3.467032967032967,2566.3414634146343,,,67.0,Good,45,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.47700357592116,18.520498936836507,80,10,20,15,20,35
83,Shadow Hills,34.2403163561037,-118.33864391934728,104500.0,2.0,1797.5,45.8,34.62837837837838,21.36824324324324,8.5,37.0,1668,0.185251798561151,0.7535971223021583,0.2458233890214797,-1.2087912087912087,46.39777468706537,2182.0,964600.0,59.0,Good,45,65,0.5,0.0,1.0,2.5,0.0,0.5,0.0,22.666050150067143,29.37527788204412,55,15,40,30,35,45
84,Sherman Oaks,34.150801890181846,-118.44219740361554,95735.0,6.0,659.0,38.6,17.7390527256479,78.68632707774799,8.9,64.2,14771,0.1677611536118069,0.7814636788301401,0.2146755609460278,-8.664835164835166,373.5710672736469,2063.0,1089800.0,63.0,Moderate,65,85,1.67,0.5,10.0,15.0,1.67,5.0,1.33,21.31228461876336,16.37036726621835,30,55,62,44,52,65
85,Silver Lake,34.09424145512176,-118.2690368482962,120000.0,2.8,1552.857142857143,41.0,19.413287316652287,54.055220017256254,11.0,63.2,5902,0.1257200948830904,0.835818366655371,0.1504155686195013,-4.082417582417583,135.74057037718492,2008.0,1638000.0,,Moderate,65,85,2.14,1.43,17.86,25.0,1.79,12.5,1.07,5.222126994060486,22.37943535660426,25,40,81,54,51,80
86,South Park,33.99656164988579,-118.26858821614852,57013.0,0.9,6380.0,29.4,,74.32134996331622,9.6,8.6,12343,0.4094628534391963,0.5237786599692134,0.7817478731631864,-5.604395604395605,214.9599442702891,1480.0,657400.0,67.0,Moderate/Poor,65,85,2.22,3.33,22.22,38.89,1.11,16.67,2.22,6.602385798727283,18.894929022369755,8,20,85,80,70,85
87,Studio City,34.13984056157801,-118.38889128278628,169097.0,4.0,800.25,40.2,38.39031339031339,40.0997150997151,16.6,70.5,5760,0.1788194444444444,0.7774305555555555,0.2300133988387673,-3.2582417582417587,179.94376757263356,2837.0,2000000.0,62.0,Moderate,65,85,2.0,1.25,17.5,25.0,3.75,8.75,1.25,16.54303616044165,17.441559095349124,35,45,65,44,50,65
88,Sunland,34.269194519309515,-118.3126605792355,117857.0,5.0,541.0,45.3,32.79022403258656,13.340122199592669,8.0,35.7,2785,0.2168761220825852,0.7023339317773788,0.3087934560327198,-1.4010989010989012,102.95748613678371,2185.0,798600.0,66.0,Moderate/Poor,55,75,0.4,0.2,2.0,4.0,0.0,1.0,0.4,24.94564944526145,33.35044715400897,45,25,56,30,33,50
89,Sun Valley,34.22020363554303,-118.38851011740448,96304.0,6.0,532.0,39.9,64.28571428571429,36.134453781512605,8.8,21.2,13431,0.2765244583426401,0.6503611049065594,0.425186033199771,-8.016483516483518,420.7706766917293,1125.0,696000.0,64.0,Moderate/Poor,65,90,0.33,0.17,1.67,4.17,0.0,0.5,0.5,22.945866980863247,25.332240222931603,20,30,57,42,52,55
90,Sylmar,34.31288550748564,-118.44884225763828,88651.0,14.0,296.35714285714283,37.2,74.36791630340018,36.44289450741064,10.3,23.1,10214,0.2919522224397885,0.6125905619737615,0.4765862234297586,-6.571428571428571,246.17980236201493,1329.0,532600.0,38.0,Moderate/Poor,65,85,0.21,0.14,1.07,2.14,0.0,0.36,0.29,34.58553168331185,33.90408882258936,35,40,44,41,41,50
91,Tarzana,34.15663957661596,-118.54617266081324,205000.0,7.3,481.36986301369865,46.5,32.90113452188007,1.6207455429497568,8.5,67.4,8655,0.2262276140958983,0.711842865395725,0.317805551046908,-4.247252747252747,246.30051223676725,,1788000.0,57.0,Moderate,60,80,0.82,0.27,4.11,6.85,0.68,1.37,0.82,30.173337806562795,16.895605923354275,35,50,54,39,53,55
92,Toluca Lake,34.15206322600397,-118.35720432563475,105254.0,1.0,2216.0,48.0,30.181818181818183,37.09090909090909,5.5,64.4,8308,0.2150938854116514,0.7282137698603756,0.2953719008264462,-4.98901098901099,374.9097472924188,2202.0,1663600.0,67.0,Moderate,60,80,2.0,1.0,15.0,25.0,1.0,8.0,1.0,15.246965857164186,20.27876827614196,20,30,72,44,63,75
93,Tujunga,34.25868155834884,-118.28051989382205,99583.0,6.0,699.6666666666666,50.8,35.03909026297086,22.103766879886283,9.7,33.7,3328,0.2100360576923076,0.7115384615384616,0.2951858108108108,-1.4615384615384617,79.27584564078133,3479.0,917600.0,57.0,Moderate/Poor,55,75,0.33,0.17,1.67,3.33,0.0,0.5,0.33,23.20470614361681,33.98503821103889,60,30,56,30,33,50
94,University Park,34.02817217848023,-118.28355329754372,38098.0,1.0,2463.0,21.4,2.244389027431421,99.25187032418953,14.8,91.7,12352,0.2222312176165803,0.7339702072538861,0.3027796161482462,-16.565934065934066,501.5022330491271,2139.0,,52.0,Moderate,65,85,2.0,8.0,20.0,40.0,1.0,15.0,5.0,4.5447994255871365,18.114773100914352,25,30,85,75,70,85
95,Valley Glen,34.18649563852034,-118.418376163499,87295.0,2.5,2199.2,37.4,67.35644076564925,57.63062596999483,6.9,39.8,14075,0.2564831261101243,0.6756660746003552,0.3796004206098843,-8.164835164835166,256.00218261185887,1906.0,821000.0,61.0,Moderate/Poor,60,80,1.2,0.8,8.0,14.0,0.0,4.0,1.6,21.94285024664586,20.835686177124217,15,35,69,46,65,65
96,Valley Village,34.16331512779616,-118.39741613767258,82127.0,2.0,2251.0,39.1,22.054794520547947,52.51141552511416,4.9,60.3,8925,0.1701960784313725,0.7713165266106442,0.2206565950029053,-6.0879120879120885,198.24522434473568,2042.0,1316700.0,66.0,Moderate,60,80,2.5,1.0,15.0,22.5,0.5,5.0,2.0,18.78541832195041,19.26688848140304,18,35,77,46,69,70
97,Van Nuys,34.1985234974988,-118.4647944396452,68790.0,5.9,751.3559322033898,35.3,49.15254237288136,76.08958837772397,10.3,35.5,20356,0.2902829632540774,0.6425623894674789,0.4517584097859327,-13.456043956043956,459.1924204827431,1829.0,657600.0,51.0,Moderate/Poor,65,85,1.02,0.51,6.78,10.17,0.34,2.54,1.02,26.05461765897456,21.10530700388998,12,50,71,52,61,60
98,Venice,33.99135368870917,-118.462081496188,121875.0,3.5,610.8571428571429,44.2,32.580364900086884,44.74370112945265,6.6,69.7,14970,0.2547094188376753,0.7032064128256513,0.3622114562553434,-9.681318681318682,700.1870907390085,3454.0,2000000.0,73.0,Good,65,85,2.29,1.71,17.14,22.86,5.71,8.57,1.14,21.235790236303288,1.2316142348279064,22,60,83,52,88,80
99,Vermont Knolls,33.96721084836968,-118.29058199587004,57163.0,1.0,5102.0,29.6,,94.28129829984545,7.1,3.7,12577,0.4669635048103681,0.4578198298481354,1.0199722125738104,-5.071428571428571,246.51117208937671,1558.0,617900.0,46.0,Moderate/Poor,60,80,1.0,0.0,5.0,10.0,0.0,3.0,1.0,10.395681457413303,16.943170977481792,5,15,55,50,45,60
100,Vermont-Slauson,33.983955938609256,-118.29043926897153,57708.0,1.0,4136.0,29.8,,73.70062370062371,12.7,9.4,10917,0.4622148942017037,0.4687185124118347,0.986124682431112,-4.324175824175824,263.9506769825919,1441.0,685900.0,59.0,Moderate/Poor,60,80,1.0,0.0,5.0,10.0,0.0,3.0,2.0,8.729996283048633,16.838632881137404,5,15,55,50,45,60
101,Vermont Square,34.002049535886535,-118.29897538786804,72742.0,0.6,6275.0,37.4,59.46882217090069,59.35334872979215,6.7,11.7,10403,0.4122849178121696,0.5209074305488801,0.791474441778926,-5.203296703296704,276.3081009296149,1515.0,677300.0,,Moderate/Poor,60,80,1.67,0.0,8.33,16.67,0.0,5.0,1.67,7.556751987024506,16.160414327352342,6,10,50,45,40,55
102,Vermont Vista,33.94195922273944,-118.28587291973462,60122.0,2.0,1573.5,34.0,81.29032258064515,42.1505376344086,5.8,19.8,10332,0.4092140921409214,0.5313588850174216,0.770127504553734,-5.225274725274725,328.3126787416587,1833.0,555000.0,83.0,Moderate/Poor,60,80,0.5,0.5,2.5,5.0,0.0,1.5,0.5,12.864163259880094,17.915994569738476,6,20,60,55,50,60
103,Watts,33.94025500776507,-118.24154905775684,51170.0,2.2,2146.818181818181,30.3,92.6040061633282,51.07858243451464,6.8,6.0,11034,0.4435381547942723,0.5007250317201377,0.8857918552036199,-4.983516483516483,233.62269743806905,1324.0,543100.0,53.0,Moderate/Poor,65,85,0.45,1.36,2.27,4.55,0.0,1.36,0.91,12.453160980162323,21.92465527572932,10,20,64,57,56,60
104,West Adams,34.029440530833604,-118.35282956586585,69536.0,2.3,1318.6956521739132,36.2,54.49844881075491,68.04550155118925,6.7,23.2,6783,0.3154946189001916,0.616983635559487,0.5113500597371565,-6.868131868131869,223.63996043521263,1477.0,721700.0,72.0,Moderate,60,80,1.3,2.61,8.7,15.22,0.43,4.35,0.87,10.371296495624565,12.132380127082772,12,25,76,61,68,70
105,Westchester,33.953410725521714,-118.40075314035484,,6.3,0.0,,,,,,17609,0.1515134306320631,0.8090181157362712,0.1872806401796995,-21.2032967032967,,,,,Good,60,80,0.79,0.32,4.76,7.14,0.79,1.59,0.48,18.176740669919784,7.539286781330389,20,45,61,43,58,65
106,West Hills,34.206647519385946,-118.6370768219164,168889.0,8.0,634.875,45.2,41.4828431372549,23.52941176470588,9.1,53.8,5356,0.1878267363704256,0.736370425690814,0.2550709939148073,-3.928571428571429,105.45382949399487,3500.0,944400.0,51.0,Moderate/Poor,55,75,0.38,0.13,1.25,2.5,0.12,0.38,0.38,40.07410900776416,25.386386648010173,40,55,43,36,46,50
107,Westlake,34.06192102786382,-118.27385087468318,40588.0,2.0,1684.0,37.3,42.52199413489736,98.68035190615836,8.8,26.8,36492,0.3402115532171434,0.6144086375095912,0.553721957093796,-31.33516483516484,1083.4916864608076,1411.0,,51.0,Moderate/Poor,70,95,1.0,1.5,12.5,20.0,0.5,7.5,2.5,2.9805495754781,20.251666977097777,10,35,91,87,64,90
108,West Los Angeles,34.04664541902249,-118.43017561071656,117933.0,2.8,1349.642857142857,35.8,33.33333333333333,61.93146417445483,8.0,76.3,3816,0.1462264150943396,0.8162997903563941,0.1791332263242375,-2.2142857142857144,100.9790949986769,3053.0,1158500.0,47.0,Good,65,85,2.86,1.07,14.29,25.0,2.86,7.14,2.14,17.193001884420006,7.277597601065317,20,50,75,60,64,75
109,Westwood,34.06623645131268,-118.43765449517085,148517.0,3.3,754.8484848484849,39.1,21.82741116751269,31.47208121827412,14.4,68.8,5731,0.1903681730937009,0.7595533065782586,0.2506317482196186,-3.3626373626373627,230.0682456844641,3500.0,1768800.0,56.0,Good,65,90,2.42,2.42,15.15,22.73,3.03,7.58,2.42,17.936433471130268,8.205699730779923,30,65,69,66,55,80
110,Wilmington,33.78092752330585,-118.25988120981832,37844.0,12.0,224.33333333333337,34.4,67.43940990516333,79.97892518440463,13.1,8.1,11959,0.3439250773476043,0.572372271929091,0.6008765522279036,-7.747252747252747,444.2421991084695,1303.0,479200.0,63.0,Moderate/Poor,65,90,0.25,0.17,1.67,2.92,0.0,0.83,0.25,30.205019861143533,5.488259723474083,12,40,72,43,73,65
111,Windsor Square,34.06909679237397,-118.31990859895228,89688.0,1.0,3857.0,48.7,21.156936261381897,64.91697911087306,4.7,50.6,3797,0.179878851725046,0.7761390571503819,0.2317611129962674,-2.2087912087912085,98.44438682914182,1774.0,2000000.0,74.0,Moderate,55,75,2.0,1.0,5.0,10.0,0.0,3.0,1.0,7.267828670806773,16.927816896457202,15,25,80,65,65,80
112,Winnetka,34.21061339788254,-118.57524998543266,72866.0,4.8,849.1666666666667,39.4,55.471698113207545,46.86792452830189,5.8,36.3,10645,0.2765617660873649,0.6485674025364021,0.4264194669756663,-5.670329670329671,261.1629048086359,1836.0,809000.0,43.0,Moderate/Poor,60,80,1.04,0.42,5.21,8.33,0.21,1.67,0.62,35.23481852687177,23.41868148923876,20,35,59,43,57,55
113,Woodland Hills,34.166339061616846,-118.604936737949,144450.0,7.2,636.3888888888889,48.1,39.3489434608795,26.0422615648201,4.5,48.7,12534,0.210547311313228,0.7245093346098612,0.2906067613698931,-6.873626373626374,273.54866870362287,3270.0,1038600.0,64.0,Moderate/Poor,65,85,1.11,0.56,6.94,11.11,2.78,3.47,1.11,35.597073118455214,20.024165630889016,35,60,60,45,55,60
114,Lake Balboa,34.2020275103168,-118.50664421540095,135442.0,3.0,1319.6666666666667,42.3,37.6,18.618181818181817,3.3,33.0,7083,0.2371876323591698,0.6886912325285895,0.3444034440344403,-4.384615384615385,178.9088153574135,2898.0,778900.0,66.0,Moderate,55,75,1.0,0.33,3.33,6.67,0.0,1.67,1.0,29.38185362197892,21.32097448533974,45,35,62,44,57,60
